plastic_strain,subcycling_stress,trapezoid_stress,relative_difference_percent
5.823471000000000067e-05,6.541930107618603110e+07,6.366840000000000000e+07,2.750031532418014457e+00
5.837704999999999701e-05,6.553371000000000000e+07,6.376707783538330346e+07,2.770445541157323444e+00
5.952741000000000271e-05,6.641539526761588454e+07,6.456457000000000000e+07,2.866626801070439434e+00
6.096023000000000164e-05,6.751357000000000000e+07,6.534055546409071982e+07,3.325675027515653692e+00
6.114648999999999399e-05,6.764655924466972053e+07,6.544143000000000000e+07,3.369622645271841410e+00
6.278820999999999697e-05,6.881874384017692506e+07,6.648491000000000000e+07,3.510321124262520520e+00
6.365521000000000070e-05,6.943778000000000000e+07,6.692125064691020548e+07,3.760433836431872123e+00
6.479498000000000419e-05,7.012898223033450544e+07,6.749487000000000000e+07,3.902685093451554899e+00
6.655966000000000302e-05,7.119915494222083688e+07,6.836775000000000000e+07,4.141433559274419807e+00
6.705608999999999582e-05,7.150021000000000000e+07,6.867480319183510542e+07,4.114182606788763685e+00
6.821503999999999936e-05,7.212977225883786380e+07,6.939164000000000000e+07,3.945910860210053439e+00
6.972522000000000257e-05,7.295012890239605308e+07,7.034439000000000000e+07,3.704259717649201367e+00
7.083104000000000277e-05,7.355083000000000000e+07,7.103375305676598847e+07,3.543494233259098625e+00
7.108377999999999724e-05,7.368643745583412051e+07,7.119131000000000000e+07,3.504820259430708962e+00
7.244337999999999689e-05,7.441592980746851861e+07,7.202678000000000000e+07,3.317029870651608370e+00
7.395053000000000498e-05,7.522459000000000000e+07,7.288273315269878507e+07,3.213184722909225854e+00
7.398000000000000658e-05,7.523890000087846816e+07,7.289947000000000000e+07,3.209117982446879402e+00
7.558270000000000396e-05,7.601713679788935184e+07,7.380691000000000000e+07,2.994606870670174281e+00
7.736559000000000274e-05,7.688287000000000000e+07,7.471926900067412853e+07,2.895639944371446006e+00
7.737761000000000335e-05,7.688842876955872774e+07,7.472542000000000000e+07,2.894609049448939597e+00
7.918830999999999602e-05,7.772580514559794962e+07,7.556421000000000000e+07,2.860607085812118644e+00
8.156987999999999836e-05,7.882718607887443900e+07,7.652049000000000000e+07,3.014481583788132024e+00
8.158748999999999700e-05,7.883533000000000000e+07,7.652512405468904972e+07,3.018885593259477140e+00
