time,subcycling_plastic_strain,trapezoid_plastic_strain,relative_difference_percent
6.803239999999999766e-06,5.182652443189741221e-05,5.365924999999999959e-05,3.415488602808625984e+00
6.878992000000000324e-06,5.274527000000000263e-05,5.443472503955301407e-05,3.103634744779973254e+00
6.905255000000000008e-06,5.303530701660921434e-05,5.470358000000000116e-05,3.049659608001499489e+00
7.011860999999999712e-06,5.421261677530554718e-05,5.575556000000000256e-05,2.767335176428064258e+00
7.057687999999999875e-06,5.471871000000000249e-05,5.625567786792773340e-05,2.732111541764890905e+00
7.123723999999999898e-06,5.538913249192363593e-05,5.697634000000000140e-05,2.785730898257707366e+00
7.232580999999999693e-06,5.649428999999999812e-05,5.823272484339028679e-05,2.985322854229463196e+00
7.232753000000000206e-06,5.649605594095256992e-05,5.823471000000000067e-05,2.985597522589931163e+00
7.344004999999999831e-06,5.763829119011004194e-05,5.952741000000000271e-05,3.173527640275228823e+00
7.415959000000000159e-06,5.837704999999999701e-05,6.053274549348037906e-05,3.561205552311449196e+00
7.459886000000000391e-06,5.884997536670348589e-05,6.114648999999999399e-05,3.755758725147605670e+00
7.592270999999999971e-06,6.027525423097922658e-05,6.278820999999999697e-05,4.002273307394446533e+00
7.655893999999999243e-06,6.096023000000000164e-05,6.372470266666664803e-05,4.338149180745721978e+00
7.728606000000000589e-06,6.178730916683198378e-05,6.479498000000000419e-05,4.641826933456913551e+00
7.847035999999999725e-06,6.313441811346954234e-05,6.655966000000000302e-05,5.146122871616923611e+00
7.892821000000000846e-06,6.365521000000000070e-05,6.713909741915262842e-05,5.189059062564618685e+00
7.977838000000000713e-06,6.474778133395053727e-05,6.821503999999999936e-05,5.082836081382437143e+00
8.098832999999999713e-06,6.630271350694351353e-05,6.972522000000000257e-05,4.908563204327628604e+00
8.157456000000000727e-06,6.705608999999999582e-05,7.046353579275247011e-05,4.835757607700048588e+00
8.206703999999999819e-06,6.773828384403115914e-05,7.108377999999999724e-05,4.706412849694878275e+00
8.313501000000000349e-06,6.921765876201764435e-05,7.244337999999999689e-05,4.452748115814520347e+00
8.427391999999999764e-06,7.079530128741063114e-05,7.398000000000000658e-05,4.304810371167038241e+00
8.429972000000000677e-06,7.083104000000000277e-05,7.401489746727546307e-05,4.301644096289066077e+00
8.545881000000000316e-06,7.247862322242423544e-05,7.558270000000000396e-05,4.106861461122410795e+00
8.649431000000000366e-06,7.395053000000000498e-05,7.708757770328809585e-05,4.069459433999419673e+00
8.669387999999999200e-06,7.424973868382926028e-05,7.737761000000000335e-05,4.042346766940388747e+00
8.785510999999999240e-06,7.599073231976187471e-05,7.918830999999999602e-05,4.037941560109215011e+00
8.877212999999999196e-06,7.736559000000000274e-05,8.076169106522771519e-05,4.205089096617391498e+00
8.924317000000000092e-06,7.810182869033075576e-05,8.156987999999999836e-05,4.251632231982249266e+00
9.026147000000000098e-06,7.969343844399032618e-05,8.382992999999999716e-05,4.934385077035936540e+00
