time,subcycling_density,trapezoid_density,relative_difference_percent
4.334693999999999939e-04,1.969031870270697266e+13,1.969050000000000000e+13,9.207348367351958713e-04
4.392756000000000265e-04,1.969601320481864062e+13,1.969483000000000000e+13,6.007692468737353859e-03
4.438606000000000105e-04,1.970051000000000000e+13,1.969993017002391797e+13,2.943309804033317212e-03
4.462158000000000248e-04,1.970309613888950781e+13,1.970255000000000000e+13,2.771919825138433567e-03
4.513073999999999949e-04,1.970868699519462109e+13,1.971200000000000000e+13,1.680704548183292388e-02
4.566435000000000199e-04,1.971454632592164844e+13,1.971604000000000000e+13,7.575933495527309262e-03
4.573663000000000056e-04,1.971534000000000000e+13,1.971667732887482422e+13,6.782729425032064594e-03
4.616676000000000113e-04,1.972018972874034375e+13,1.972047000000000000e+13,1.421219979322247470e-03
4.676810999999999902e-04,1.972696996815169922e+13,1.972582000000000000e+13,5.829760951378541722e-03
4.682930999999999769e-04,1.972766000000000000e+13,1.972643478392721875e+13,6.211036541582954339e-03
4.734847000000000036e-04,1.973211922643831641e+13,1.973165000000000000e+13,2.378039537070677188e-03
4.759305000000000133e-04,1.973422000000000000e+13,1.973449236196090234e+13,1.380131578288445494e-03
4.788454999999999947e-04,1.973714786795932031e+13,1.973788000000000000e+13,3.709273947757750229e-03
4.830888999999999886e-04,1.974141000000000000e+13,1.974275118190967578e+13,6.793287811400414156e-03
4.852047000000000066e-04,1.974189705538146094e+13,1.974518000000000000e+13,1.662656212067483222e-02
4.898221999999999602e-04,1.974296000000000000e+13,1.975086072094125000e+13,4.000190702004748772e-02
4.915367000000000130e-04,1.974367975674276953e+13,1.975297000000000000e+13,4.703213368536715566e-02
4.983754999999999652e-04,1.974655072344585547e+13,1.976185000000000000e+13,7.741824046910857071e-02
4.985166999999999767e-04,1.974661000000000000e+13,1.976202262518500391e+13,7.799113216964864703e-02
5.048618999999999850e-04,1.975378185441623047e+13,1.976978000000000000e+13,8.092222363511142325e-02
5.072402000000000161e-04,1.975647000000000000e+13,1.976827842925274219e+13,5.973423176430116971e-02
5.129555000000000052e-04,1.976231446710800391e+13,1.976467000000000000e+13,1.191789638782784523e-02
5.163639999999999506e-04,1.976580000000000000e+13,1.976382042647891797e+13,1.001614808455689003e-02
5.191339999999999800e-04,1.976878787056156250e+13,1.976313000000000000e+13,2.862841342217806520e-02
5.232893000000000180e-04,1.977327000000000000e+13,1.976353105123205078e+13,4.927737226057130743e-02
5.242108999999999788e-04,1.977441806843652344e+13,1.976362000000000000e+13,5.463608608404451478e-02
5.285393999999999900e-04,1.977981022797157031e+13,1.976540000000000000e+13,7.290633112191158283e-02
5.309855000000000477e-04,1.978285741786152734e+13,1.976651000000000000e+13,8.270260082092055487e-02
5.321676000000000444e-04,1.978433000000000000e+13,1.976766715542924609e+13,8.429342946609362508e-02
5.382692000000000336e-04,1.979263481427772266e+13,1.977364000000000000e+13,9.606129310396395449e-02
5.409253000000000368e-04,1.979625000000000000e+13,1.977357284668867188e+13,1.146841468011467191e-01
5.453886999999999711e-04,1.979805064468025781e+13,1.977346000000000000e+13,1.243618703062479292e-01
5.484360000000000190e-04,1.979928000000000000e+13,1.977519306848467578e+13,1.218037742130117229e-01
5.495911000000000242e-04,1.979969378750842969e+13,1.977585000000000000e+13,1.205702283766800775e-01
5.555544000000000151e-04,1.980183000000000000e+13,1.978191017593064844e+13,1.006971717705437835e-01
5.578272999999999912e-04,1.980033224613246094e+13,1.978422000000000000e+13,8.143988558791268040e-02
5.633241999999999894e-04,1.979671000000000000e+13,1.979205596305900000e+13,2.351467149085751870e-02
5.656559999999999930e-04,1.979932205494887891e+13,1.979538000000000000e+13,1.991401503218885594e-02
5.693589000000000419e-04,1.980347000000000000e+13,1.979826867116022266e+13,2.627163478872283908e-02
5.701810000000000081e-04,1.980439946239040234e+13,1.979891000000000000e+13,2.772608386220425103e-02
5.749931000000000226e-04,1.980984000000000000e+13,1.980961676399868359e+13,1.126907218730791851e-03
5.762529999999999866e-04,1.981186621350139453e+13,1.981242000000000000e+13,2.795148187881484145e-03
