total_strain,subcycling_stress,trapezoid_stress,relative_difference_percent
7.355652999999999758e-04,1.071673000000000000e+08,1.025582569602343291e+08,4.494073101839834550e+00
7.406122000000000443e-04,1.076568757850468457e+08,1.029059000000000000e+08,4.616815736558200989e+00
7.438164000000000364e-04,1.079677000000000000e+08,1.031914210267132521e+08,4.628562070145645357e+00
7.478819999999999522e-04,1.082361325648759604e+08,1.035537000000000000e+08,4.521743370711003074e+00
7.513422999999999977e-04,1.084646000000000000e+08,1.038718071859993935e+08,4.421597099756301219e+00
7.532132000000000410e-04,1.086222378477061242e+08,1.040438000000000000e+08,4.400490800707128614e+00
7.585178999999999836e-04,1.090692000000000000e+08,1.039416804213575572e+08,4.933073583048267707e+00
7.608076999999999765e-04,1.092986055414765924e+08,1.038976000000000000e+08,5.198392976812353794e+00
7.650288000000000097e-04,1.097215000000000000e+08,1.041333017560404092e+08,5.366389185518588789e+00
7.678064000000000286e-04,1.099227306035743952e+08,1.042884000000000000e+08,5.402643633975010573e+00
7.735729000000000216e-04,1.103405000000000000e+08,1.044504026226568073e+08,5.639133243575975563e+00
7.759470000000000299e-04,1.105061823849284649e+08,1.045171000000000000e+08,5.730241639816322063e+00
7.826390000000000126e-04,1.109732000000000000e+08,1.050211310856608599e+08,5.667496486477863193e+00
7.845039999999999956e-04,1.111343515850844085e+08,1.051616000000000000e+08,5.679593677810539809e+00
7.908719999999999726e-04,1.116846000000000000e+08,1.051080915126425475e+08,6.256900294461555490e+00
7.910019000000000338e-04,1.116914008194689006e+08,1.051070000000000000e+08,6.264474125861170251e+00
7.983846999999999862e-04,1.120779219124246836e+08,1.051286000000000000e+08,6.610305770670096948e+00
7.989381999999999734e-04,1.121069000000000000e+08,1.051477237437290549e+08,6.618475425328441020e+00
8.043845999999999895e-04,1.125717901461401731e+08,1.053359000000000000e+08,6.869348575500065834e+00
8.076627000000000285e-04,1.128516000000000000e+08,1.054853983614349663e+08,6.983148144661210921e+00
8.119582999999999879e-04,1.132228836136546433e+08,1.056813000000000000e+08,7.136157119239300073e+00
8.154930000000000338e-04,1.135284000000000000e+08,1.056950121184056550e+08,7.411312723838785033e+00
8.176810000000000068e-04,1.136715916667629033e+08,1.057035000000000000e+08,7.538153104450564967e+00
8.241522999999999731e-04,1.140951000000000000e+08,1.061235545298353732e+08,7.511570362942868506e+00
8.258876999999999972e-04,1.142627702511548847e+08,1.062362000000000000e+08,7.555400373088348331e+00
8.319051000000000050e-04,1.148441572335793525e+08,1.062811000000000000e+08,8.056989656278823020e+00
8.335687999999999735e-04,1.150049000000000000e+08,1.063942456667585671e+08,8.093157932818273892e+00
8.362575000000000347e-04,1.152574601077214181e+08,1.065771000000000000e+08,8.144676584108047734e+00
8.383775000000000211e-04,1.154566000000000000e+08,1.067765358328312486e+08,8.129186903720318824e+00
8.435603000000000285e-04,1.158990627717391253e+08,1.072641000000000000e+08,8.050188993091932588e+00
8.436767000000000398e-04,1.159090000000000000e+08,1.072723659408635348e+08,8.051126665648091318e+00
8.476017999999999660e-04,1.162382833824711889e+08,1.075511000000000000e+08,8.077261304134674802e+00
8.500193999999999545e-04,1.164411000000000000e+08,1.077355960355581045e+08,8.080434215603769843e+00
8.531813999999999761e-04,1.166526258418167531e+08,1.079769000000000000e+08,8.034798037188281228e+00
8.569402000000000052e-04,1.169040753466304243e+08,1.083512000000000000e+08,7.893660011730764481e+00
8.587030000000000487e-04,1.170220000000000000e+08,1.085336529155964702e+08,7.820935586683584795e+00
8.608725000000000014e-04,1.172420042031560838e+08,1.087582000000000000e+08,7.800611083261845380e+00
8.680470000000000460e-04,1.179695544016088992e+08,1.093511000000000000e+08,7.881451948456759560e+00
8.681007000000000350e-04,1.179750000000000000e+08,1.093559549621698111e+08,7.881642148168180206e+00
8.748272999999999987e-04,1.185848715378729850e+08,1.099641000000000000e+08,7.839623602496619270e+00
8.769882999999999802e-04,1.187808000000000000e+08,1.101107245822792649e+08,7.873960915807158401e+00
8.812311000000000406e-04,1.191975809713709056e+08,1.103986000000000000e+08,7.970192530857190150e+00
8.851128999999999464e-04,1.195789000000000000e+08,1.106950774652147591e+08,8.025490146639020494e+00
8.898267000000000503e-04,1.200463688362748027e+08,1.110551000000000000e+08,8.096223258792079491e+00
8.931758000000000145e-04,1.203785000000000000e+08,1.113633395912855268e+08,8.095267654329516560e+00
8.970836000000000044e-04,1.207626898613655716e+08,1.117230000000000000e+08,8.091162841461088107e+00
9.001076999999999472e-04,1.210600000000000000e+08,1.120038271700612605e+08,8.085592304081073323e+00
9.031226000000000054e-04,1.212517871248789877e+08,1.122838000000000000e+08,7.986893144762635899e+00
9.076486000000000363e-04,1.215397000000000000e+08,1.126080923359988630e+08,7.931585979941031539e+00
9.087750000000000125e-04,1.215423885085426867e+08,1.126888000000000000e+08,7.856671211817578993e+00
9.142682999999999756e-04,1.215555000000000000e+08,1.131358507454017401e+08,7.442070041569441408e+00
9.149730000000000233e-04,1.215991630254821926e+08,1.131932000000000000e+08,7.426208487331564356e+00
9.206311000000000225e-04,1.219497374039138407e+08,1.132696000000000000e+08,7.663254221709832059e+00
9.213713000000000328e-04,1.219956000000000000e+08,1.132613269367924780e+08,7.711611102774594606e+00
9.248093999999999889e-04,1.220987746633303761e+08,1.132229000000000000e+08,7.839292813848060426e+00
9.271261999999999733e-04,1.221683000000000000e+08,1.127487606048521101e+08,8.354450500933065626e+00
9.293228999999999856e-04,1.222504612800754160e+08,1.122992000000000000e+08,8.861382164855507781e+00
9.320055999999999523e-04,1.223508000000000000e+08,1.123690592570946217e+08,8.882997516307108654e+00
9.339425999999999848e-04,1.224461788690175563e+08,1.124195000000000000e+08,8.918985468728784838e+00
9.379437999999999491e-04,1.226432000000000000e+08,1.124496633692774624e+08,9.064977453287358600e+00
9.401373999999999885e-04,1.227841671817512959e+08,1.124662000000000000e+08,9.174282746061745542e+00
9.440593000000000162e-04,1.230362000000000000e+08,1.126699956537507474e+08,9.200501239128399789e+00
9.470306999999999857e-04,1.232150103311258256e+08,1.128244000000000000e+08,9.209541846556087208e+00
9.503257999999999671e-04,1.234133000000000000e+08,1.126065691188759208e+08,9.596892051400381263e+00
9.534928999999999931e-04,1.233818800788343102e+08,1.123972000000000000e+08,9.773090502996792495e+00
9.548415999999999891e-04,1.233685000000000000e+08,1.124494991451081187e+08,9.710137384250758785e+00
9.588980999999999460e-04,1.233103000000000000e+08,1.126067998658993095e+08,9.505198750739056734e+00
9.606516999999999964e-04,1.233636138020383418e+08,1.126748000000000000e+08,9.486428022981483466e+00
9.617926000000000383e-04,1.233983000000000000e+08,1.127213573521469980e+08,9.471978424193130408e+00
9.648407999999999594e-04,1.234067000000000000e+08,1.128457469750889689e+08,9.358751488651488870e+00
9.678733999999999818e-04,1.234607063096771538e+08,1.129695000000000000e+08,9.286759974751728208e+00
9.697316999999999569e-04,1.234938000000000000e+08,1.126863263207325786e+08,9.590758730129095966e+00
9.742619000000000105e-04,1.237292525393906981e+08,1.119960000000000000e+08,1.047649249918809389e+01
9.747900000000000098e-04,1.237567000000000000e+08,1.119893702850240022e+08,1.050754163991366497e+01
9.807515999999999630e-04,1.227799000000000000e+08,1.119145289504266232e+08,9.708633143053548409e+00
9.808016999999999170e-04,1.227809738229093403e+08,1.119139000000000000e+08,9.710209208069185749e+00
9.864436000000000298e-04,1.229019000000000000e+08,1.120440637635356486e+08,9.690684068171041332e+00
9.868136000000000008e-04,1.228356609651246220e+08,1.120526000000000000e+08,9.623213531077924543e+00
9.916077000000000571e-04,1.219774000000000000e+08,1.120623623814372271e+08,8.847785650648720690e+00
9.924118999999999909e-04,1.218294907152583748e+08,1.120640000000000000e+08,8.714208590857344561e+00
9.960946000000000904e-04,1.211521647728087157e+08,1.122605000000000000e+08,7.920564021012480360e+00
