time,subcycling_density,trapezoid_density,relative_difference_percent
4.697263999999999755e-06,1.912086014879999924e+10,1.909277000000000000e+10,1.471245335276088195e-01
4.699999999999999893e-06,1.914159000000000000e+10,1.911379978825218582e+10,1.453934437719428541e-01
4.705622999999999890e-06,1.918523460140000153e+10,1.915702000000000000e+10,1.472807430383302196e-01
4.715653999999999591e-06,1.926309321719999695e+10,1.923436000000000000e+10,1.493848363033495608e-01
4.720668999999999746e-06,1.930201864420000076e+10,1.927027000000000000e+10,1.647545374299413667e-01
4.725683999999999900e-06,1.934094407120000076e+10,1.930886000000000000e+10,1.661624311326549697e-01
4.731702999999999816e-06,1.938766234540000153e+10,1.935524000000000000e+10,1.675119781516608564e-01
4.738924999999999694e-06,1.944371806500000000e+10,1.941097000000000000e+10,1.687090598769664662e-01
4.747590999999999621e-06,1.951098182379999924e+10,1.947798000000000000e+10,1.694314492570545561e-01
4.757991000000000402e-06,1.959170454380000305e+10,1.955856000000000000e+10,1.694631087360370658e-01
4.770471000000000154e-06,1.968857180780000305e+10,1.965559000000000000e+10,1.677986150504922613e-01
4.782949999999999667e-06,1.978543131000000000e+10,1.975282000000000000e+10,1.650969836205665731e-01
4.797925999999999707e-06,1.990167202679999924e+10,1.986985000000000000e+10,1.601523252566035282e-01
4.799999999999999783e-06,1.991777000000000000e+10,1.988613755328028488e+10,1.590678261928105686e-01
4.815897000000000047e-06,2.004380459540000153e+10,2.001098000000000000e+10,1.640329229253216226e-01
4.833867000000000148e-06,2.018627434940000153e+10,2.014724000000000000e+10,1.937453934136960099e-01
4.851837999999999641e-06,2.032875203159999847e+10,2.028510000000000000e+10,2.151925876628583423e-01
4.869808999999999981e-06,2.047122971380000305e+10,2.042430000000000000e+10,2.297739153851199589e-01
4.887780000000000321e-06,2.061370739600000381e+10,2.056448000000000000e+10,2.393806991472861023e-01
4.899999999999999672e-06,2.071059000000000000e+10,2.065795585976627350e+10,2.547887147742313729e-01
4.905750000000000422e-06,2.075589195000000381e+10,2.070194000000000000e+10,2.606130150121380717e-01
4.923720999999999915e-06,2.089747827060000229e+10,2.084004000000000000e+10,2.756149729079324651e-01
4.941692000000000255e-06,2.103906459120000076e+10,2.097930000000000000e+10,2.848740958945282231e-01
4.959662999999999748e-06,2.118065091179999542e+10,2.111955000000000000e+10,2.893097239287552025e-01
4.977632999999999849e-06,2.132222935379999542e+10,2.126076000000000000e+10,2.891211499494628634e-01
4.995604000000000189e-06,2.146381567439999771e+10,2.140283000000000000e+10,2.849421053197063736e-01
5.000000000000000409e-06,2.149845000000000000e+10,2.143778322686550903e+10,2.829899551296156113e-01
5.013574999999999682e-06,2.160632102249999619e+10,2.154572000000000000e+10,2.812671031647872022e-01
5.031546000000000022e-06,2.174912397979999542e+10,2.168853000000000000e+10,2.793826036158071902e-01
5.049516000000000123e-06,2.189191899079999924e+10,2.183215000000000000e+10,2.737659405967769466e-01
5.067486999999999616e-06,2.203472194809999466e+10,2.197653000000000000e+10,2.647913392150383349e-01
5.085457999999999956e-06,2.217752490539999771e+10,2.212156000000000000e+10,2.529880596124220449e-01
5.100000000000000299e-06,2.229308000000000000e+10,2.223941080852484512e+10,2.413247002685085518e-01
5.103429000000000296e-06,2.232123106129999924e+10,2.226720000000000000e+10,2.426486549723325670e-01
5.121399000000000396e-06,2.246875937029999924e+10,2.241355000000000000e+10,2.463214006705730930e-01
5.139369999999999889e-06,2.261629588899999619e+10,2.256055000000000000e+10,2.470945477836142545e-01
5.157341000000000230e-06,2.276383240770000076e+10,2.270811000000000000e+10,2.453854931123759797e-01
5.175311999999999723e-06,2.291136892639999771e+10,2.285631000000000000e+10,2.408915804869539712e-01
5.193281999999999823e-06,2.305889723539999771e+10,2.300512000000000000e+10,2.337620294960326972e-01
5.200000000000000188e-06,2.311405000000000000e+10,2.305917502197985840e+10,2.379745934875602542e-01
5.211253000000000163e-06,2.320864046740000153e+10,2.314972000000000000e+10,2.545191363005752105e-01
5.229223999999999656e-06,2.335970109919999695e+10,2.329947000000000000e+10,2.585084519089788091e-01
5.247194999999999996e-06,2.351076173100000000e+10,2.344983000000000000e+10,2.598386896621425191e-01
5.265165000000000097e-06,2.366181395700000000e+10,2.360077000000000000e+10,2.586523956633617893e-01
5.283135999999999590e-06,2.381287458879999542e+10,2.375230000000000000e+10,2.550262029361174410e-01
5.300000000000000078e-06,2.395463000000000000e+10,2.389497445106004333e+10,2.496573037235877424e-01
5.301106999999999930e-06,2.396411831839999771e+10,2.390434000000000000e+10,2.500730762698225584e-01
5.319078000000000270e-06,2.411815135360000229e+10,2.405697000000000000e+10,2.543186178475605463e-01
5.337048000000000371e-06,2.427217581760000229e+10,2.421022000000000000e+10,2.559077017887582128e-01
5.355018999999999864e-06,2.442620885279999924e+10,2.436408000000000000e+10,2.550018420560071775e-01
5.372990000000000204e-06,2.458024188800000000e+10,2.451479000000000000e+10,2.669893888546465144e-01
5.390960999999999697e-06,2.473427492319999695e+10,2.466651000000000000e+10,2.747244064928396901e-01
5.399999999999999967e-06,2.481175000000000000e+10,2.474330880467445755e+10,2.766048626148684964e-01
5.408930999999999798e-06,2.489027045889999771e+10,2.481919000000000000e+10,2.863931453846709219e-01
5.426902000000000138e-06,2.504826969380000305e+10,2.496834000000000000e+10,3.201241804621495213e-01
5.444872999999999631e-06,2.520626892869999695e+10,2.511982000000000000e+10,3.441462904590755212e-01
5.462843999999999971e-06,2.536426816360000229e+10,2.527277000000000000e+10,3.620424812950946425e-01
5.471829000000000021e-06,2.544326338510000229e+10,2.535028000000000000e+10,3.667943119366030569e-01
