time,subcycling_plastic_strain,trapezoid_plastic_strain,relative_difference_percent
4.588599000000000178e-06,1.923541723420000156e-06,2.009663999999999856e-06,4.285406743614838199e+00
4.600000000000000004e-06,1.935679000000000005e-06,2.022428237169518129e-06,4.289360461606672281e+00
4.605316999999999600e-06,1.941548967999999716e-06,2.028381000000000036e-06,4.280854139335771968e+00
4.622034999999999870e-06,1.960005639999999999e-06,2.047232999999999920e-06,4.260744136109565261e+00
4.638751999999999900e-06,1.978461207999999666e-06,2.066217000000000058e-06,4.247172102446180375e+00
4.655470000000000169e-06,1.996917879999999950e-06,2.085333000000000029e-06,4.239856176447602820e+00
4.672187999999999591e-06,2.015374551999999387e-06,2.104580000000000016e-06,4.238634216803382593e+00
4.688904999999999621e-06,2.033830119999999477e-06,2.123955000000000148e-06,4.243257507809754081e+00
4.697263999999999755e-06,2.043058455999999619e-06,2.143037000000000028e-06,4.665273814684506526e+00
4.699999999999999893e-06,2.046078999999999829e-06,2.146232218566814193e-06,4.666467016029304915e+00
4.705622999999999890e-06,2.052554727949999795e-06,2.152799000000000138e-06,4.656462217327318243e+00
4.715653999999999591e-06,2.064106929099999336e-06,2.162592000000000046e-06,4.554029188122433958e+00
4.720668999999999746e-06,2.069882453849999741e-06,2.173861999999999855e-06,4.783171431765223858e+00
4.725683999999999900e-06,2.075657978600000146e-06,2.179753000000000050e-06,4.775542063710883411e+00
4.731702999999999816e-06,2.082589759949999955e-06,2.185656000000000153e-06,4.715574639833541859e+00
4.738924999999999694e-06,2.090906976249999725e-06,2.192753999999999996e-06,4.644708150116259482e+00
4.747590999999999621e-06,2.100887175149999619e-06,2.201295000000000072e-06,4.561307087419017137e+00
4.757991000000000402e-06,2.112864335150000678e-06,2.211577000000000137e-06,4.463451412724922740e+00
4.770471000000000154e-06,2.127236927150000593e-06,2.223962000000000019e-06,4.349223271350833642e+00
4.782949999999999667e-06,2.141608367500000084e-06,2.238887999999999951e-06,4.344997717616953636e+00
4.797925999999999707e-06,2.158855477899999983e-06,2.253893000000000157e-06,4.216594226079061869e+00
4.799999999999999783e-06,2.161244000000000106e-06,2.255982349284959148e-06,4.199427771010117993e+00
4.815897000000000047e-06,2.180410535990000366e-06,2.271997000000000145e-06,4.031099689392185326e+00
4.833867000000000148e-06,2.202076425890000372e-06,2.293859000000000106e-06,4.001229984493368086e+00
4.851837999999999641e-06,2.223743521460000082e-06,2.315972000000000007e-06,3.982279515469095532e+00
4.869808999999999981e-06,2.245410617030000215e-06,2.338240000000000164e-06,3.970053671564935271e+00
4.887780000000000321e-06,2.267077712600000772e-06,2.360663000000000153e-06,3.964364561989550229e+00
4.899999999999999672e-06,2.281810999999999997e-06,2.376041703394545376e-06,3.965869086385232833e+00
4.905750000000000422e-06,2.289010057500000983e-06,2.383277999999999935e-06,3.955390118148153444e+00
4.923720999999999915e-06,2.311509929209999940e-06,2.406027000000000029e-06,3.928346223462998665e+00
4.941692000000000255e-06,2.334009800920000166e-06,2.428978000000000192e-06,3.909800709598852730e+00
4.959662999999999748e-06,2.356509672629999546e-06,2.452087000000000059e-06,3.897795117791518660e+00
4.977632999999999849e-06,2.379008292329999395e-06,2.475354000000000051e-06,3.892199163028829734e+00
4.995604000000000189e-06,2.401508164039999621e-06,2.498779999999999986e-06,3.892773111678513587e+00
5.000000000000000409e-06,2.407011999999999902e-06,2.504548542206889513e-06,3.894376194479545639e+00
5.013574999999999682e-06,2.424778145499998763e-06,2.522361999999999991e-06,3.868748993998531116e+00
5.031546000000000022e-06,2.448297512039999649e-06,2.546100000000000068e-06,3.841266562978689514e+00
5.049516000000000123e-06,2.471815569839999432e-06,2.570038999999999976e-06,3.821865355350659854e+00
5.067486999999999616e-06,2.495334936379999047e-06,2.594133999999999954e-06,3.808556675175642781e+00
5.085457999999999956e-06,2.518854302919999510e-06,2.618385999999999819e-06,3.801261428987182001e+00
5.100000000000000299e-06,2.537885999999999913e-06,2.638153765733682040e-06,3.800679362819370244e+00
